Auction item name, Item24 with itemId, 2 ends at time, 2013-11-28 14,29,10.
Auction item name, Item14 with itemId, 1 ends at time, 2013-11-28 14,29,10.
Auction item name, Item78 with itemId, 3 ends at time, 2013-11-28 14,29,10.
Auction item name, Item121 with itemId, 4 ends at time, 2013-11-28 14,29,10.
Auction item name, Item209 with itemId, 5 ends at time, 2013-11-28 14,29,10.
Auction item name, Item79 with itemId, 6 ends at time, 2013-11-28 14,29,10.
Auction item name, Item201 with itemId, 7 ends at time, 2013-11-28 14,29,10.
Auction item name, Item54 with itemId, 8 ends at time, 2013-11-28 14,29,10.
Auction item name, Item180 with itemId, 9 ends at time, 2013-11-28 14,29,10.
Auction item name, Item136 with itemId, 10 ends at time, 2013-11-28 14,29,10.
Auction item name, Item199 with itemId, 11 ends at time, 2013-11-28 14,29,10.
Auction item name, Item36 with itemId, 12 ends at time, 2013-11-28 14,29,10.
Auction item name, Item150 with itemId, 13 ends at time, 2013-11-28 14,29,10.
Auction item name, Item92 with itemId, 14 ends at time, 2013-11-28 14,29,10.
Auction item name, Item239 with itemId, 15 ends at time, 2013-11-28 14,29,10.
Auction item name, Item181 with itemId, 16 ends at time, 2013-11-28 14,29,10.
Auction item name, Item111 with itemId, 18 ends at time, 2013-11-28 14,29,10.
Auction item name, Item210 with itemId, 17 ends at time, 2013-11-28 14,29,10.
Auction item name, Item18 with itemId, 19 ends at time, 2013-11-28 14,29,10.
Auction item name, Item112 with itemId, 20 ends at time, 2013-11-28 14,29,10.
Auction item name, Item192 with itemId, 21 ends at time, 2013-11-28 14,29,10.
Auction item name, Item229 with itemId, 22 ends at time, 2013-11-28 14,29,10.
Auction item name, Item232 with itemId, 23 ends at time, 2013-11-28 14,29,10.
Auction item name, Item69 with itemId, 24 ends at time, 2013-11-28 14,29,10.
Auction item name, Item171 with itemId, 25 ends at time, 2013-11-28 14,29,10.
Auction item name, Item197 with itemId, 26 ends at time, 2013-11-28 14,29,10.
Auction item name, Item156 with itemId, 27 ends at time, 2013-11-28 14,29,10.
Auction item name, Item61 with itemId, 28 ends at time, 2013-11-28 14,29,10.
Auction item name, Item28 with itemId, 29 ends at time, 2013-11-28 14,29,10.
Auction item name, Item15 with itemId, 30 ends at time, 2013-11-28 14,29,10.
Auction item name, Item146 with itemId, 31 ends at time, 2013-11-28 14,29,10.
Auction item name, Item107 with itemId, 32 ends at time, 2013-11-28 14,29,10.
